ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
21592,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.468608012
22689,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.066821307
2708,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,3.253189876
5181,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.31017032
5181,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.224472538
5181,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,-0.072875412
5422,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.33034124
5444,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.885962354
5686,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.805257011
9534,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.460775618
10230,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.396280131
11458,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,0.095134814
11458,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,2.039193721
13875,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,0.184714289
13875,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,0.548162377
13875,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.030857355
13877,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.053164441
13903,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,0.117033373
13903,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,0.427033103
13903,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.142267511
14000,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.024896935
14000,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,0.32691825
146,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.045649912
146,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,0.271713432
146,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.028816244
15555,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,2.749799747
15555,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,2.039193721
16322,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.54639064
16893,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,1.042025614
17529,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.226648361
18083,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,0.71983742
18208,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.077091794
18208,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,0.765549526
18209,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.02799945
18216,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,0.385044795
19129,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,0.275445159
19129,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,0.230728327
19129,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,1.218129839
19872,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,0.744688455
21054,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.150852659
21054,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,0.536253306
21487,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,1.122136827
21494,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.053268029
21497,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,0.269245768
21498,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,1.645896696
21592,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.629013023
22689,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,0.274129748
2708,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,2.230697682
5181,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.193572556
5181,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.011599974
5181,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.077967217
5422,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.399248663
5444,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,0.702143912
5686,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,0.750672063
9534,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.464362461
10230,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.432457705
11458,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.004871646
11458,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,1.007744079
13875,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,0.082822272
13875,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.887241848
13875,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.04059032
13877,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.256057773
13903,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,0.120522595
13903,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.888261149
13903,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.13466052
14000,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,0.044446325
14000,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.44165075
146,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.269338675
146,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.354882607
146,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.024031881
15555,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,2.825178482
15555,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,2.671758914
16322,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.609920278
16893,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.846448449
17529,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.276301047
18083,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,0.451987527
18208,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.038975467
18208,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.807841537
18209,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.142630271
