ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
13875,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.088284845
13875,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.515227798
13875,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,-0.104795548
13877,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.072924018
13903,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.003072851
13903,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.347896216
13903,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,0.006585946
14000,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.149436603
14000,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.096980682
146,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,8.89E-05
146,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.194260191
146,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,-0.216259916
15555,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.236089189
15555,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.15490196
16322,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.015553541
16893,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.085439914
17529,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.042986005
18083,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.089512618
18208,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.064883584
18208,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.110563371
18209,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.20249645
18216,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.001904067
19129,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.15769486
19129,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.36168578
19129,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,0.007164919
