ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
11458,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,13297.83333
11458,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,9001.666667
11458,20210114,Day 3,1,4,A. baumannii,100ng/mL LPS,11095.66667
11458,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LTA,10635
11458,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LTA,4014
11458,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LTA,11301.66667
11458,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LTA,1929.333333
11458,20210114,Day 3,1,1,A. baumannii,100ng/mL LTA,10747.66667
11458,20210114,Day 3,1,2,A. baumannii,100ng/mL LTA,9627
11458,20210114,Day 3,1,3,A. baumannii,100ng/mL LTA,9060.333333
11458,20210114,Day 3,1,4,A. baumannii,100ng/mL LTA,13023.83333
11458,20210114,Day 3,1,1,A. baumannii,Fungi alone,3834.333333
11458,20210114,Day 3,1,2,A. baumannii,Fungi alone,12563.83333
11458,20210114,Day 3,1,3,A. baumannii,Fungi alone,2208.333333
11458,20210114,Day 3,1,4,A. baumannii,Fungi alone,9618
11458,20210114,Day 3,1,1,A. baumannii,Autoclaved bacteria,12148.5
11458,20210114,Day 3,1,2,A. baumannii,Autoclaved bacteria,12130.83333
11458,20210114,Day 3,1,3,A. baumannii,Autoclaved bacteria,12014.66667
11458,20210114,Day 3,1,4,A. baumannii,Autoclaved bacteria,12747.5
11458,20210114,Day 3,1,1,E. coli,0.1ng/mL LPS,1003.333333
11458,20210114,Day 3,1,2,E. coli,0.1ng/mL LPS,8880.666667
11458,20210114,Day 3,1,3,E. coli,0.1ng/mL LPS,532.3333333
11458,20210114,Day 3,1,4,E. coli,0.1ng/mL LPS,7542.333333
11458,20210114,Day 3,1,1,E. coli,100ng/mL LPS,3975
11458,20210114,Day 3,1,2,E. coli,100ng/mL LPS,5573
11458,20210114,Day 3,1,3,E. coli,100ng/mL LPS,3324
11458,20210114,Day 3,1,4,E. coli,100ng/mL LPS,5183
11458,20210114,Day 3,1,1,E. coli,0.1ng/mL LTA,5252.333333
11458,20210114,Day 3,1,2,E. coli,0.1ng/mL LTA,1604.666667
11458,20210114,Day 3,1,3,E. coli,0.1ng/mL LTA,4386.666667
11458,20210114,Day 3,1,4,E. coli,0.1ng/mL LTA,1534.333333
11458,20210114,Day 3,1,1,E. coli,100ng/mL LTA,3644.666667
11458,20210114,Day 3,1,2,E. coli,100ng/mL LTA,5213.666667
11458,20210114,Day 3,1,3,E. coli,100ng/mL LTA,4972
11458,20210114,Day 3,1,4,E. coli,100ng/mL LTA,5781
11458,20210114,Day 3,1,1,E. coli,Fungi alone,1044.666667
11458,20210114,Day 3,1,2,E. coli,Fungi alone,4956
11458,20210114,Day 3,1,3,E. coli,Fungi alone,889.6666667
11458,20210114,Day 3,1,4,E. coli,Fungi alone,4426.333333
11458,20210114,Day 3,1,1,E. coli,Autoclaved bacteria,4913
11458,20210114,Day 3,1,2,E. coli,Autoclaved bacteria,5888.333333
11458,20210114,Day 3,1,3,E. coli,Autoclaved bacteria,3262
11458,20210114,Day 3,1,4,E. coli,Autoclaved bacteria,4655.666667
11458,20210114,Day 3,1,1,P. aeruginosa,0.1ng/mL LPS,5307.666667
11458,20210114,Day 3,1,2,P. aeruginosa,0.1ng/mL LPS,7446.333333
11458,20210114,Day 3,1,3,P. aeruginosa,0.1ng/mL LPS,4504.333333
11458,20210114,Day 3,1,4,P. aeruginosa,0.1ng/mL LPS,6837.333333
11458,20210114,Day 3,1,1,P. aeruginosa,100ng/mL LPS,6734.333333
11458,20210114,Day 3,1,2,P. aeruginosa,100ng/mL LPS,7320.333333
11458,20210114,Day 3,1,3,P. aeruginosa,100ng/mL LPS,7190.666667
